DATE,CONTAMINES,DECES,GUERIS
2020-08-11,11.0,0.0,0.0
2020-08-12,29.0,0.0,0.0
2020-08-13,106.0,0.0,0.0
2020-08-14,80.0,0.0,0.0
2020-08-15,91.0,0.0,0.0
2020-08-16,63.0,0.0,0.0
2020-08-17,38.0,0.0,0.0
2020-08-18,25.0,0.0,0.0
2020-08-19,83.0,0.0,0.0
2020-08-20,59.0,0.0,0.0
2020-08-21,73.0,0.0,0.0
2020-08-22,61.0,0.0,0.0
2020-08-23,62.0,0.0,0.0
2020-08-24,28.0,0.0,0.0
2020-08-25,14.0,0.0,0.0
2020-08-26,55.0,0.0,0.0
2020-08-27,49.0,0.0,0.0
2020-08-28,40.0,0.0,0.0
2020-08-29,32.0,0.0,0.0
2020-08-30,38.0,0.0,0.0
2020-08-31,18.0,0.0,0.0
2020-09-03,0.0,0.0,0.0
2020-09-04,0.0,0.0,0.0
2020-09-05,14.0,3.0,0.0
2020-09-06,17.0,0.0,0.0
2020-09-07,13.0,0.0,0.0
2020-09-08,113.0,0.0,0.0
2020-09-09,21.0,0.0,0.0
2020-09-10,13.0,0.0,0.0
2020-09-11,1.0,0.0,0.0
2020-09-12,36.0,0.0,0.0
2020-09-13,25.0,0.0,0.0
2020-09-14,17.0,0.0,0.0
2020-09-15,5.0,0.0,0.0
2020-09-16,18.0,0.0,0.0
2020-09-17,23.0,0.0,0.0
2020-09-18,19.0,0.0,0.0
2020-09-19,26.0,0.0,0.0
2020-09-20,12.0,0.0,0.0
2020-09-21,9.0,0.0,0.0
2020-09-22,10.0,0.0,0.0
2020-09-23,26.0,0.0,0.0
2020-09-24,12.0,0.0,0.0
2020-09-25,15.0,0.0,0.0
2020-09-26,18.0,0.0,0.0
2020-09-27,29.0,0.0,0.0
2020-09-28,6.0,0.0,0.0
2020-09-29,11.0,0.0,0.0
2020-09-30,22.0,0.0,0.0
2020-10-03,0.0,0.0,0.0
2020-10-04,0.0,0.0,0.0
2020-10-05,5.0,2.0,0.0
2020-10-06,15.0,0.0,0.0
2020-10-07,17.0,0.0,0.0
2020-10-08,72.0,0.0,0.0
2020-10-09,20.0,0.0,0.0
2020-10-10,15.0,0.0,0.0
2020-10-11,9.0,0.0,0.0
2020-10-12,49.0,0.0,0.0
2020-10-13,13.0,0.0,0.0
2020-10-14,23.0,0.0,0.0
2020-10-15,12.0,0.0,0.0
2020-10-16,15.0,0.0,0.0
2020-10-17,13.0,0.0,0.0
2020-10-18,19.0,0.0,0.0
2020-10-19,11.0,0.0,0.0
2020-10-20,27.0,0.0,0.0
2020-10-21,18.0,0.0,0.0
2020-10-22,12.0,0.0,0.0
2020-10-23,10.0,0.0,0.0
2020-10-24,12.0,0.0,0.0
2020-10-25,5.0,0.0,0.0
2020-10-26,12.0,0.0,0.0
2020-10-27,3.0,0.0,0.0
2020-10-28,8.0,0.0,0.0
2020-10-29,6.0,0.0,0.0
2020-10-30,8.0,0.0,0.0
2020-10-31,8.0,0.0,0.0
2020-11-03,1.0,0.0,1.0
2020-11-04,0.0,0.0,0.0
2020-11-05,8.0,0.0,0.0
2020-11-06,17.0,0.0,0.0
2020-11-07,41.0,0.0,0.0
2020-11-08,39.0,0.0,0.0
2020-11-09,17.0,0.0,0.0
2020-11-10,19.0,0.0,0.0
2020-11-11,12.0,0.0,0.0
2020-11-12,63.0,0.0,0.0
2020-11-13,8.0,0.0,0.0
2020-11-14,15.0,0.0,0.0
2020-11-15,7.0,0.0,0.0
2020-11-16,6.0,0.0,0.0
2020-11-17,4.0,0.0,0.0
2020-11-18,9.0,0.0,0.0
2020-11-19,8.0,0.0,0.0
2020-11-20,8.0,0.0,0.0
2020-11-21,6.0,0.0,0.0
2020-11-22,10.0,0.0,0.0
2020-11-23,11.0,0.0,0.0
2020-11-24,6.0,0.0,0.0
2020-11-25,8.0,0.0,0.0
2020-11-26,19.0,0.0,0.0
2020-11-27,10.0,0.0,0.0
2020-11-28,31.0,0.0,0.0
2020-11-29,26.0,0.0,0.0
2020-11-30,9.0,0.0,0.0
2020-12-03,5.0,0.0,0.0
2020-12-04,0.0,0.0,0.0
2020-12-05,2.0,0.0,0.0
2020-12-06,18.0,0.0,0.0
2020-12-07,24.0,0.0,0.0
2020-12-08,115.0,0.0,0.0
2020-12-09,17.0,0.0,0.0
2020-12-10,16.0,0.0,0.0
2020-12-11,8.0,0.0,0.0
2020-12-12,62.0,0.0,0.0
2020-12-13,46.0,0.0,0.0
2020-12-14,39.0,0.0,0.0
2020-12-15,50.0,0.0,0.0
2020-12-16,86.0,0.0,0.0
2020-12-17,62.0,0.0,0.0
2020-12-18,62.0,0.0,0.0
2020-12-19,68.0,0.0,0.0
2020-12-20,59.0,0.0,0.0
2020-12-21,69.0,0.0,0.0
2020-12-22,44.0,0.0,0.0
2020-12-23,63.0,0.0,0.0
2020-12-24,103.0,0.0,0.0
2020-12-25,98.0,0.0,0.0
2020-12-26,94.0,0.0,0.0
2020-12-27,50.0,0.0,0.0
2020-12-28,74.0,0.0,0.0
2020-12-29,52.0,0.0,0.0
2020-12-30,96.0,0.0,0.0
2020-12-31,114.0,0.0,0.0
2021-01-01,136.0,0.0,0.0
2021-01-02,278.0,0.0,0.0
2021-01-03,155.0,0.0,0.0
2021-01-04,60.0,0.0,0.0
2021-01-05,35.0,0.0,0.0
2021-01-13,136.0,0.0,0.0
2021-01-14,190.0,0.0,0.0
2021-01-15,149.0,0.0,0.0
2021-01-16,194.0,0.0,0.0
2021-01-17,173.0,0.0,0.0
2021-01-18,110.0,0.0,0.0
2021-01-19,114.0,0.0,0.0
2021-01-20,174.0,0.0,0.0
2021-01-21,178.0,0.0,0.0
2021-01-22,174.0,0.0,0.0
2021-01-23,164.0,0.0,0.0
2021-01-24,166.0,0.0,0.0
2021-01-25,155.0,0.0,0.0
2021-01-26,98.0,0.0,0.0
2021-01-27,193.0,0.0,0.0
2021-01-28,200.0,0.0,0.0
2021-01-29,120.0,0.0,0.0
2021-01-30,221.0,0.0,0.0
2021-01-31,152.0,0.0,0.0
2021-02-01,107.0,0.0,0.0
2021-02-02,106.0,0.0,0.0
2021-02-03,58.0,0.0,0.0
2021-02-04,75.0,0.0,0.0
2021-02-13,172.0,0.0,0.0
2021-02-14,206.0,0.0,0.0
2021-02-15,149.0,0.0,0.0
2021-02-16,121.0,0.0,0.0
2021-02-17,200.0,0.0,0.0
2021-02-18,202.0,0.0,0.0
2021-02-19,177.0,0.0,0.0
2021-02-20,169.0,0.0,0.0
2021-02-21,151.0,0.0,0.0
2021-02-22,127.0,0.0,0.0
2021-02-23,94.0,0.0,0.0
2021-02-24,136.0,0.0,0.0
2021-02-25,190.0,0.0,0.0
2021-02-26,186.0,0.0,0.0
2021-02-27,132.0,0.0,0.0
2021-02-28,169.0,0.0,0.0
2021-03-01,113.0,0.0,0.0
2021-03-02,189.0,0.0,0.0
2021-03-03,135.0,0.0,0.0
2021-03-04,43.0,0.0,0.0
2021-03-13,93.0,0.0,0.0
2021-03-14,104.0,0.0,0.0
2021-03-15,69.0,0.0,0.0
2021-03-16,47.0,0.0,0.0
2021-03-17,136.0,0.0,0.0
2021-03-18,106.0,0.0,0.0
2021-03-19,69.0,0.0,0.0
2021-03-20,99.0,0.0,0.0
2021-03-21,96.0,0.0,0.0
2021-03-22,57.0,0.0,0.0
2021-03-23,21.0,0.0,0.0
2021-03-24,107.0,0.0,0.0
2021-03-25,74.0,0.0,0.0
2021-03-26,65.0,0.0,0.0
2021-03-27,55.0,0.0,0.0
2021-03-28,37.0,0.0,0.0
2021-03-29,35.0,0.0,0.0
2021-03-30,33.0,0.0,0.0
2021-03-31,42.0,0.0,0.0
2021-04-01,69.0,0.0,0.0
2021-04-02,279.0,0.0,0.0
2021-04-03,138.0,0.0,0.0
2021-04-04,49.0,0.0,0.0
2021-04-13,17.0,0.0,0.0
2021-04-14,44.0,0.0,0.0
2021-04-15,31.0,0.0,0.0
2021-04-16,37.0,0.0,0.0
2021-04-17,39.0,0.0,0.0
2021-04-18,40.0,0.0,0.0
2021-04-19,32.0,0.0,0.0
2021-04-20,8.0,0.0,0.0
2021-04-21,44.0,0.0,0.0
2021-04-22,35.0,0.0,0.0
2021-04-23,28.0,0.0,0.0
2021-04-24,32.0,0.0,0.0
2021-04-25,43.0,0.0,0.0
2021-04-26,21.0,0.0,0.0
2021-04-27,20.0,0.0,0.0
2021-04-28,38.0,0.0,0.0
2021-04-29,29.0,0.0,0.0
2021-04-30,35.0,0.0,0.0
2021-05-01,116.0,0.0,0.0
2021-05-02,247.0,0.0,0.0
2021-05-03,146.0,0.0,0.0
2021-05-04,40.0,0.0,0.0
2021-06-01,145.0,0.0,0.0
2021-06-02,263.0,0.0,0.0
2021-06-03,100.0,0.0,0.0
2021-06-04,21.0,0.0,0.0
2021-07-01,164.0,0.0,0.0
2021-07-02,191.0,0.0,0.0
2021-07-03,126.0,0.0,0.0
2021-07-04,24.0,0.0,0.0
2021-08-01,142.0,0.0,0.0
2021-08-02,197.0,0.0,0.0
2021-08-03,75.0,0.0,0.0
2021-08-04,44.0,0.0,0.0
2021-09-01,208.0,0.0,0.0
2021-09-02,127.0,0.0,0.0
2021-09-03,58.0,0.0,0.0
2021-09-04,45.0,0.0,0.0
2021-10-01,144.0,0.0,0.0
2021-10-02,204.0,0.0,0.0
2021-10-03,93.0,0.0,0.0
2021-10-04,31.0,0.0,0.0
2021-11-01,174.0,0.0,0.0
2021-11-02,304.0,0.0,0.0
2021-11-03,109.0,0.0,0.0
2021-11-04,44.0,0.0,0.0
2021-12-01,102.0,0.0,0.0
2021-12-02,261.0,0.0,0.0
2021-12-03,121.0,0.0,0.0
2021-12-04,23.0,0.0,0.0
